Session_ID,Date,Device,Traffic_Source,Pages_Viewed,Session_Duration_Min,Product_Views,Add_To_Cart,Checkout,Purchase,Order_Value
SES0341,2025-09-04,Mobile,Social,4,0.56,4,No,No,No,9905.46
SES0342,2025-07-28,Mobile,Social,1,1.08,1,No,No,No,3331.55
SES0343,2025-11-24,Mobile,Paid,7,2.76,2,Yes,No,No,3752.42
SES0344,2025-07-02,Mobile,Social,7,4.84,3,No,Yes,No,5729.59
SES0345,2025-07-18,Mobile,Organic,10,1.57,3,Yes,No,No,4547.47
SES0346,2025-07-15,Mobile,Email,11,8.6,10,No,No,No,2506.97
SES0347,2025-09-08,Tablet,Paid,10,7.5,8,No,No,No,11021.38
SES0348,2025-09-08,Mobile,Social,10,6.45,0,No,No,No,13134.61
SES0349,2025-07-16,Mobile,Referral,1,3.84,11,Yes,No,No,13134.61
SES0350,2025-11-06,Mobile,Email,11,2.77,8,Yes,No,No,9245.98
SES0351,2025-11-12,Mobile,Direct,8,2.85,8,No,Yes,No,9245.98
SES0352,2025-10-22,Desktop,Paid,10,4.0,10,No,No,No,5795.45
SES0353,2025-11-21,Mobile,Referral,14,0.9,5,No,No,No,5729.59
SES0354,2025-10-04,Mobile,Direct,14,6.23,10,Yes,No,No,2152.97
SES0355,2025-07-16,Mobile,Referral,7,2.67,0,No,No,No,11021.38
SES0356,2025-09-29,Desktop,Social,7,1.77,10,No,Yes,No,4547.47
SES0357,2025-08-27,Mobile,Paid,11,2.13,11,No,No,No,3173.61
SES0358,2025-07-31,Mobile,Social,6,1.49,5,No,No,No,4547.47
SES0359,2025-07-16,Mobile,Direct,12,12.09,7,No,No,No,4567.71
SES0360,2025-11-26,Mobile,Organic,4,1.43,4,No,No,No,9245.98
SES0361,2025-11-10,Mobile,Referral,11,11.22,4,No,No,No,1155.51
SES0362,2025-08-20,Desktop,Organic,8,4.75,0,Yes,No,No,4567.71
SES0363,2025-11-17,Desktop,Direct,2,10.6,0,No,No,No,7288.34
SES0364,2025-07-15,Mobile,Social,7,3.71,7,No,No,No,2506.97
SES0365,2025-09-26,Mobile,Email,3,13.63,4,Yes,No,No,10928.1
SES0366,2025-07-17,Mobile,Referral,14,1.69,7,No,No,Yes,7288.34
SES0367,2025-11-05,Mobile,Email,3,4.54,9,No,Yes,No,11021.38
SES0368,2025-10-30,Mobile,Paid,14,1.17,1,Yes,Yes,No,7288.34
SES0369,2025-11-18,Mobile,Referral,7,3.46,3,No,No,No,4567.71
SES0370,2025-11-09,Tablet,Organic,12,4.72,10,No,Yes,No,5795.45
SES0371,2025-06-23,Mobile,Email,3,5.15,9,No,No,No,3361.74
SES0372,2025-07-31,Desktop,Direct,15,2.77,8,Yes,No,No,2152.97
SES0373,2025-11-12,Mobile,Paid,15,0.9,2,No,No,No,3752.42
SES0374,2025-06-13,Mobile,Referral,5,5.83,5,No,No,No,4547.47
SES0375,2025-06-07,Mobile,Direct,8,3.85,10,No,No,No,11021.38
SES0376,2025-11-17,Desktop,Paid,14,1.24,6,Yes,No,No,3331.55
SES0377,2025-11-13,Mobile,Organic,13,14.23,2,No,No,No,7859.36
SES0378,2025-11-27,Desktop,Direct,4,16.08,0,Yes,No,No,4547.47
SES0379,2025-11-19,Desktop,Referral,7,10.21,1,No,No,No,3752.42
SES0380,2025-10-19,Desktop,Paid,7,9.79,10,No,No,No,0.0
SES0381,2025-06-28,Desktop,Social,2,1.02,9,Yes,No,No,5729.59
SES0382,2025-09-04,Desktop,Referral,14,25.62,6,Yes,No,No,10928.1
SES0383,2025-09-15,Desktop,Referral,8,3.06,6,No,No,No,3361.74
SES0384,2025-09-06,Mobile,Referral,10,1.39,11,No,No,No,3752.42
SES0385,2025-09-20,Desktop,Referral,12,8.86,0,No,No,No,5795.45
SES0386,2025-06-01,Desktop,Social,10,1.78,9,No,No,No,7859.36
SES0387,2025-07-13,Mobile,Direct,15,4.23,6,No,No,No,13134.61
SES0388,2025-07-12,Desktop,Direct,14,1.18,9,No,No,No,7288.34
SES0389,2025-09-03,Mobile,Direct,9,3.72,10,No,No,No,2506.97
SES0390,2025-11-25,Mobile,Organic,6,4.58,5,No,No,No,7288.34
SES0391,2025-10-07,Mobile,Social,14,3.45,10,No,No,No,10928.1
SES0392,2025-07-21,Mobile,Social,5,0.86,5,Yes,No,No,3361.74
SES0393,2025-10-22,Desktop,Paid,1,3.82,6,Yes,No,Yes,3331.55
SES0394,2025-11-14,Desktop,Email,1,3.66,6,No,No,No,1155.51
SES0395,2025-06-15,Desktop,Direct,9,2.02,0,No,Yes,No,3361.74
SES0396,2025-10-03,Tablet,Email,14,13.23,9,No,No,No,2152.97
SES0397,2025-11-08,Mobile,Paid,4,3.2,4,Yes,No,No,0.0
SES0398,2025-08-26,Mobile,Social,1,10.48,7,No,No,No,3752.42
SES0399,2025-07-23,Mobile,Paid,11,1.08,7,No,No,No,13134.61
SES0400,2025-10-23,Desktop,Referral,10,2.42,2,No,No,No,10928.1
SES0401,2025-08-28,Mobile,Paid,12,1.47,2,No,No,No,9905.46
SES0402,2025-09-14,Tablet,Paid,3,3.12,6,Yes,No,No,2506.97
SES0403,2025-06-06,Mobile,Referral,6,1.09,3,Yes,No,No,5795.45
SES0404,2025-07-01,Tablet,Email,14,3.41,5,No,No,No,11021.38
SES0405,2025-07-10,Mobile,Referral,11,2.68,8,No,No,No,3173.61
SES0406,2025-11-05,Mobile,Organic,13,1.76,9,Yes,No,No,2506.97
SES0407,2025-08-08,Desktop,Paid,13,5.64,1,No,No,No,10928.1
SES0408,2025-10-13,Desktop,Paid,11,15.57,1,No,No,No,1155.51
SES0409,2025-06-13,Mobile,Email,8,1.66,5,No,Yes,No,4567.71
SES0410,2025-06-04,Desktop,Social,13,6.72,2,No,No,No,5729.59
SES0411,2025-11-25,Desktop,Referral,10,7.28,0,No,No,No,0.0
SES0412,2025-06-03,Mobile,Social,2,3.95,1,No,No,No,3752.42
SES0413,2025-10-18,Mobile,Organic,8,11.9,6,Yes,No,No,9905.46
SES0414,2025-08-04,Mobile,Referral,14,17.46,3,Yes,No,No,3752.42
SES0415,2025-06-27,Mobile,Organic,13,2.75,11,No,No,No,7288.34
SES0416,2025-09-15,Desktop,Organic,1,5.76,1,No,No,No,2506.97
SES0417,2025-07-20,Mobile,Organic,11,5.93,10,No,No,Yes,3331.55
SES0418,2025-06-17,Desktop,Direct,2,3.08,11,Yes,No,No,7288.34
SES0419,2025-07-02,Mobile,Referral,8,2.4,11,Yes,No,No,2152.97
SES0420,2025-11-26,Mobile,Referral,7,14.07,7,Yes,No,No,9905.46
